parameter,value
p1_name,Husband
p2_name,Wife
p1_start_age,64
p2_start_age,59
end_simulation_age,95
inflation_rate,0.03
annual_spend_goal,300000
filing_status,MFJ
p1_employment_income,000
p1_employment_until_age,64
p2_employment_income,140000
p2_employment_until_age,60
p1_ss_amount,50000
p1_ss_start_age,70
p2_ss_amount,25000
p2_ss_start_age,67
p1_pension,0
p1_pension_start_age,67
p2_pension,50000
p2_pension_start_age,60
bal_taxable,11000000
bal_pretax_p1,5000000
bal_pretax_p2,1700000
bal_roth_p1,600000
bal_roth_p2,000
growth_rate_taxable,0.07
growth_rate_pretax_p1,0.07
growth_rate_pretax_p2,0.07
growth_rate_roth_p1,0.07
growth_rate_roth_p2,0.07
taxable_basis_ratio,0.75
target_tax_bracket_rate,0.35
previous_year_taxes,50000
